#daq_ch domain det_def CloverName Theta Phi Time_Offset UpperThresholdCS cs_dom offset and slope nb_par_cal cal_pars 
000  00 3  9857  0 37 0	25 	00  1 3  3.57726     1.45883	 4.48166e-06  
002  01 3  5814  0 37 72	25 	01  1 3  23.5278     1.10031	 4.18633e-05
004  02 3  9862  0 37 144	10	02  1 3  8.46456     1.13965	 1.73711e-05
006  03 3  9850  0 37 216 	15  	03  1 3  -3.10724    1.47025	 1.87595e-05
008  04 3  5816  0 37 288 	15	04  1 3  22.7152     1.12333	 5.74112e-05
010  05 3  5817  0 70 36 	18	05  1 3  12.2093     1.15897	 6.37382e-05
012  06 3  9852  0 70 108	10	06  1 3  19.668      1.1988	-5.47511e-05
#014  07 0  0  	 0		10	07  1 2  0.0000 1.000000 
100  08 3  9854  0 70 180 	12	08  1 3  1.05564     1.43798	 -3.49295e-06
102  09 3  9861  0 70 252	17	09  1 3  -0.272564   1.45629	 2.71241e-05 
104  10 3  5815  0 70 324	20	10  1 3  14.2321     1.21301	 3.74005e-05 
106  11 3  9853  0 90 0        	10      11  1 3  3.21603     1.25518	 7.39975e-06 
110  13 3  9860  0 90 216      	10      13  1 3  3.56726     1.52717	2.50841e-05
#112  14 3  0  0		14	14  1 2  0.0000 1.000000
#114  15 3  0  0		15	15  1 2  0.0000 1.000000
202  17 3  9855  0 90 72	15	17  1 3  0.422301     1.56362	  -9.38225e-06
204  18 3  9864  0 110 36	15	18  1 3  -5.18669     1.59225	  -8.18265e-05
206  19 3  5819  0 110 108	15	19  1 3  6.27543      1.19999	  1.33326e-05 
208  20 3  5822  0 110	180	15	20  1 3  -6.07873     1.35789	  -2.42196e-05
210  21 3  5820  0 110 252	10	21  1 3  -2.17994     1.3272	  -4.1312e-05 
#212  22 3  0  0 		10	22  1 2  0.0000 1.000000
#214  23 3  0  0 		10	23  1 2  0.0000 1.000000
300  24 3  9851  0 110 324	15	24  1 3   3.63313     1.47133	  2.23138e-05
302  25 3  9863  0 143 0	15	25  1 3  -2.83681     1.50164	 -5.11652e-05
304  26 3  5821  0 143 288	15	26  1 3   6.14571     1.1636	  2.66721e-05
306  27 3  5823  0 143 216	15	27  1 3   9.02229     1.07521	 -4.73118e-06
308  28 3  9856  0 143 144	15	28  1 3   1.4477      1.58349	  2.29965e-06
310  29 3  5818  0 143 72	10	29  1 3  -2.55975     1.1959	  1.29791e-06
#312  30 3  0  0 		10	30  1 2  0.0000 1.000000 
#314  31 3  0  0 		10	31  1 2  0.0000 1.000000 
#HPGe
409  36 1  19515 0 90 288	10	36  1 3  1.27045 0.594376 2.05569e-06
411  38 1  19504 0 90 144	10	38  1 3  0.336247 0.544219 2.21036e-08 
#BGO
001  50 5  0  0 0 0     	25 	00  1 2  0 1.252645 
003  51 5  0  0 0 0 		10 	01  1 2  0 1.634395 
005  52 5  0  0 0 0 		22 	02  1 2  0 2.010257 
007  53 5  0  0 0 0 		15 	03  1 2  0 1.424542 
009  54 5  0  0 0 0 		18 	04  1 2  0 1.392682
011  55 5  0  0 0 0 		10 	05  1 2  0 1.3297   
013  56 5  0  0 0 0 		10 	06  1 2  0 2.007951 
#015  57 5  0  0 0 0 		10 	07  1 2  0 1
101  58 5  0  0 0 0 		14 	08  1 2  0 1.492108
103  59 5  0  0 0 0 		16 	09  1 2  0 1.492108
105  60 5  0  0 0 0 		15 	10  1 2  0 0.979204
107  61 5  0  0 0 0 		12 	11  1 2  0 1.39799
109  62 5  0  0 0 0 		10 	36  1 2  0 1.482771
111  63 5  0  0 0 0 		19 	13  1 2  0 1.272105
#113  64 5  0  0 0 0 		15 	14  1 2   0 1
#115  65 5  0  0 0 0 		15 	15  1 2   0 1
201  66 5  0  0 0 0		15 	38  1 2  0 1.268477
203  67 5  0  0 0 0 		15 	17  1 2  0 1.701328
205  68 5  0  0 0 0 		15 	18  1 2  0 1.630089
207  69 5  0  0 0 0 		15 	19  1 2  0 1.559693
209  70 5  0  0 0 0 		10 	20  1 2  0 1.50822
211  71 5  0  0 0 0 		10 	21  1 2  0 1.971173
#213  72 5  0  0 0 0 		10 	22  1 2   0 1
#215  73 5  0  0 0 0 		10 	23  1 2   0 1
301  74 5  0  0 0 0 		15 	24  1 2  0 1.603059
303  75 5  0  0 0 0 		15 	25  1 2  0 1.728379
305  76 5  0  0 0 0 		15 	26  1 2  0 1.938871
307  77 5  0  0 0 0 		15 	27  1 2  0 2.113778
309  78 5  0  0 0 0 		15 	28  1 2  0 2.11354
311  79 5  0  0 0 0 		10 	29  1 2  0 1.724862
#313  80 5  0  0 0 0 10 30  1 2   0 1
#315  81 5  0  0 0 0 10 31  1 2   0 1
#pulser
#015  90 9  0  	 0 0 0		10	90  1 2  0.0000 1.000000
#115  91 9  0  	 0 0 0		10	91  1 2  0.0000 1.000000
#215  92 9  0  	 0 0 0		10	92  1 2  0.0000 1.000000
#315  93 9  0  	 0 0 0		10	93  1 2  0.0000 1.000000
#415  94 9  0  	 0 0 0		10	94  1 2  0.0000 1.000000
#trigger (if any)
#313  99 99  0  0 		10	99  1 2  0.0000  1.000000 
#solar cells
#400  40 8  0  	 0 0 0		10	40  1 2  0.0000 1.000000
#401  41 8  0  	 0 0 0		10	41  1 2  0.0000 1.000000
#402  42 8  0  	 0 0 0		10	42  1 2  0.0000 1.000000
#403  43 8  0  	 0 0 0		10	43  1 2  0.0000 1.000000
#404  44 8  0  	 0 0 0		10	44  1 2  0.0000 1.000000
#405  45 8  0  	 0 0 0		10	45  1 2  0.0000 1.000000
