#daq_ch domain det_def CloverName Theta Phi Time_Offset UpperThresholdCS cs_dom offset and slope nb_par_cal cal_pars 
000  00 3  9857  -13500 	37 0	10 	 00  1 2   0.5939  1.439653 
002  01 3  5814  -8500 	37 72	10 	 01  1 2  -7.3480  1.148001  
004  02 3  9862  -12500 	37 144	10	 02  1 2  -2.0402  1.403167 
006  03 3  9850  -20500 	37 216  10	 03  1 2  -2.6625  1.429167 
008  04 3  5816  -18500 	37 288	10	 04  1 2  -28.1507  1.217052
010  05 3  5817  -7500 	70 36 	10	 05  1 2  -26.7188  1.234699
012  06 3  9852  00 		70 108	10	 06  1 2  -2.5825  1.436226 
#014  07 0  0  	 0	0	07  1 2  -0.0000  1.000000  
100  08 3  9854  -5500 	70 180  10	 08  1 2  -1.3567  1.403486 
102  09 3  9861  -16500 	70 252	10	 09  1 2   0.5489  1.471420 
104  10 3  5815  -22500 	70 324	10	 10  1 2   -17.3500  1.24295
106  11 3  9853  -7500 	90 0    10 	 11  1 2   -3.5372  1.440921
110  13 3  9860  -27500 	90 216  10  	 13  1 2   -0.0000  1.000000
#999  12 3  0  0		00		 14  1 2   -2.4679  1.487801
#112  14 3  0  0		00		 14  1 2   -0.0000  1.000000
#114  15 3  0  0		00		 15  1 2   -0.0000  1.000000
116  16 3  9853  0 		90 0    10 	 16  1 2   -0.0000  1.000000
202  17 3  9855  -6500 	90 72	10	 17  1 2   -0.2319  1.487103
204  18 3  9864  -12500 	110 36	10	 18  1 2   -2.6640  1.488648
206  19 3  5819  -13500 	110 108 10	 19  1 2   -40.3332  1.24015
208  20 3  5822  -1150 	110 180 10	 20  1 2   -13.0294  1.28541
210  21 3  5820  -15500 	110 252 10	 21  1 2   -9.9277  1.256197
#212  22 3  0  0 		00	 	 22  1 2   -0.0000  1.000000
#214  23 3  0  0 		00		 23  1 2   -0.0000  1.000000
300  24 3  9851  -13500	110 324 10  	 24  1 2   -4.1307  1.473101
302  25 3  9863  -6500 	143 0	10	 25  1 2   -0.6274  1.407861
304  26 3  5821  -13500 	143 288 10	 26  1 2   -20.0063  1.17694
306  27 3  5823  -17500 	143 216 10	 27  1 2   -11.4350  1.06420
308  28 3  9856  -3500 	143 144 10	 28  1 2    0.1854  1.524667  
310  29 3  5818  -16500 	143 72	10	 29  1 2   -13.7102  1.16922
#312  30 3  0  0 		0	30  1 2   -0.0000  1.000000 
#314  31 3  0  0 		0	31  1 2  0.0000 1.000000 
#HPGe
409   36 1  19515 0 90 288	0	36  1 2  -0.4445 2.312287
411  38 1  19504 0 90 144	0	38  1 2  0.0136 2.173809
#BGO
001  50 5  0  0 0 0     	0 	00  1 2  0 1    
003  51 5  0  0 0 0 		0 	01  1 2  0 1  
005  52 5  0  0 0 0 		0 	02  1 2  0 1  
007  53 5  0  0 0 0 		0 	03  1 2  0 1  
009  54 5  0  0 0 0 		0 	04  1 2  0 1
011  55 5  0  0 0 0 		0 	05  1 2  0 1  
#013  56 5  0  0 0 0 		0 	06  1 2  0 1  
#015  57 5  0  0 0 0 		0 	07  1 2  0 1
101  58 5  0  0 0 0 		0 	08  1 2  0 1
103  59 5  0  0 0 0 		0 	09  1 2  0 1
105  60 5  0  0 0 0 		0 	10  1 2  0 1
107  61 5  0  0 0 0 		0 	11  1 2  0 1
109  62 5  0  0 0 0 		0 	36  1 2  0 1
111  63 5  0  0 0 0 		0 	13  1 2  0 1
#113  64 5  0  0 0 0 		0 	14  1 2   0 1
#115  65 5  0  0 0 0 		0 	15  1 2   0 1
201  66 5  0  0 0 0		0 	38  1 2  0 1
203  67 5  0  0 0 0 		0 	17  1 2  0 1
205  68 5  0  0 0 0 		0 	18  1 2  0 1
207  69 5  0  0 0 0 		0 	19  1 2  0 1
209  70 5  0  0 0 0 		0 	20  1 2  0 1
211  71 5  0  0 0 0 		0 	21  1 2  0 1
#213  72 5  0  0 0 0 		0 	22  1 2   0 1
#215  73 5  0  0 0 0 		0 	23  1 2   0 1
301  74 5  0  0 0 0 		0 	24  1 2  0 1
303  75 5  0  0 0 0 		0 	25  1 2  0 1
305  76 5  0  0 0 0 		0 	26  1 2  0 1
307  77 5  0  0 0 0 		0 	27  1 2  0 1
309  78 5  0  0 0 0 		0 	28  1 2  0 1
311  79 5  0  0 0 0 		0 	29  1 2  0 1
#pulser
#015  90 9  0  	 0 0 0		10	90  1 2  0.0000 1.000000
#115  91 9  0  	 0 0 0		10	91  1 2  0.0000 1.000000
#215  92 9  0  	 0 0 0		10	92  1 2  0.0000 1.000000
#315  93 9  0  	 0 0 0		10	93  1 2  0.0000 1.000000
#415  94 9  0  	 0 0 0		10	94  1 2  0.0000 1.000000
#trigger (if any)
#313  99 99  0  0 		10	99  1 2  0.0000  1.000000 
#solar cells
#400  40 8  0  	 0 0 0		10	40  1 2  0.0000 1.000000
#401  41 8  0  	 0 0 0		10	41  1 2  0.0000 1.000000
#402  42 8  0  	 0 0 0		10	42  1 2  0.0000 1.000000
#403  43 8  0  	 0 0 0		10	43  1 2  0.0000 1.000000
#404  44 8  0  	 0 0 0		10	44  1 2  0.0000 1.000000
#405  45 8  0  	 0 0 0		10	45  1 2  0.0000 1.000000
