#daq_ch domain det_def CloverName Theta Phi Time_Offset ThresholdCS cs_dom offset and slope nb_par_cal cal_pars 
#LaBr
010  05 3  B1P  0 70 36 	18	05  1 3     31.6603	2.17483	5.56E-05     
012  06 3  B2P  0 70 108	10	06  1 3     6.74174	2.82596	-4.42E-06    
100  08 3  B3P  0 70 180 	12	08  1 3    -0.107336	3.00873	-5.02E-06     
102  09 3  B4P  0 70 252	17	09  1 3     -7.73907	3.16915	-1.08E-05    
104  10 3  B5P  0 70 324	20	10  1 3      34.9792	2.12104	5.31E-05    
204  18 3  B1N  0 110 36	15	18  1 3      52.2974	2.77744	4.07E-05   
206  19 3  B2N  0 110 108	15	19  1 3      80.2691	2.2053	     7.46E-05      
208  20 3  B3N  0 110	180	15	20  1 3      87.4405	2.35933	9.86E-05    
210  21 3  B4N  0 110 252	10	21  1 3      77.6543	2.22668	8.07E-05     
300  24 3  B5N  0 110 324	15	24  1 3    50.8708	2.8911	4.65E-05     
302  25 3  A1N  0 143 0	15	25  1 3      92.6692	2.80451	8.12E-05   
304  26 3  A2N  0 143 288	15	26  1 3     108.244	2.06755	0.00010934     
306  27 3  A3N  0 143 216	15	27  1 3      137.563	2.02683	0.000111216    
308  28 3  A4N  0 143 144	15	28  1 3     -124.586	3.4126	-1.50E-05   
310  29 3  A5N  0 143 72	10	29  1 3      119.242	2.12479	0.000103084      
#HPGe ... LaBr for now :)
000  32 3  A1P  0 37 0		25 	32  1 3     -50.7698	3.36695	-5.38E-05    
002  33 3  A2P  0 37 72	25 	33  1 3     -17.8033	2.3405	1.40E-05     
004  34 3  A3P  0 37 144	10	34  1 3     -42.0367	3.39955	-3.74E-05      
006  35 3  A4P  0 37 216 	15  	35  1 3     -32.3435	3.14982	-3.52E-05 
008  36 3  A5P  0 37 288 	15	36  1 3     -30.3878	2.31624	3.11E-05 
106  37 3  C1   0 90 0         10	37  1 3     13.6984	3.01529	2.15E-05   
108  38 3  C2   0 90 288	10	38  1 3     16.4633	3.15183	1.59E-05   
110  39 3  C3   0 90 216       10	39  1 3    11.3562	3.19664	2.71E-05    
200  40 3  C4   0 90 144	10	40  1 3    13.9427	2.89105	1.05E-05      
202  41 3  C5   0 90 72	15	41  1 3     -15.3107	2.54103	-4.68E-06
312  42 3  N   0 90 72         15      41  1 3     0.719309     1.17461     1.78133e-06     
#BGO
001  50 5  0  0 0 0     	25 	32  1 2  0 1.252645 
003  51 5  0  0 0 0 		10 	33  1 2  0 1.634395 
005  52 5  0  0 0 0 		22 	34  1 2  0 2.010257 
007  53 5  0  0 0 0 		15 	35  1 2  0 1.424542 
009  54 5  0  0 0 0 		18 	36  1 2  0 1.392682
011  55 5  0  0 0 0 		10 	05  1 2  0 1.3297   
013  56 5  0  0 0 0 		10 	06  1 2  0 2.007951 
#015  57 5  0  0 0 0 		10 	07  1 2  0 1
101  58 5  0  0 0 0 		14 	08  1 2  0 1.492108
103  59 5  0  0 0 0 		16 	09  1 2  0 1.492108
105  60 5  0  0 0 0 		15 	10  1 2  0 0.979204
107  61 5  0  0 0 0 		12 	37  1 2  0 1.39799
109  62 5  0  0 0 0 		10 	38  1 2  0 1.482771
111  63 5  0  0 0 0 		19 	39  1 2  0 1.272105
#113  64 5  0  0 0 0 		15 	14  1 2   0 1
#115  65 5  0  0 0 0 		15 	15  1 2   0 1
201  66 5  0  0 0 0		15 	40  1 2  0 1.268477
203  67 5  0  0 0 0 		15 	41  1 2  0 1.701328
205  68 5  0  0 0 0 		15 	18  1 2  0 1.630089
207  69 5  0  0 0 0 		15 	19  1 2  0 1.559693
209  70 5  0  0 0 0 		10 	20  1 2  0 1.50822
211  71 5  0  0 0 0 		10 	21  1 2  0 1.971173
#213  72 5  0  0 0 0 		10 	22  1 2   0 1
#215  73 5  0  0 0 0 		10 	23  1 2   0 1
301  74 5  0  0 0 0 		15 	24  1 2  0 1.603059
303  75 5  0  0 0 0 		15 	25  1 2  0 1.728379
305  76 5  0  0 0 0 		15 	26  1 2  0 1.938871
307  77 5  0  0 0 0 		15 	27  1 2  0 2.113778
309  78 5  0  0 0 0 		15 	28  1 2  0 2.11354
311  79 5  0  0 0 0 		10 	29  1 2  0 1.724862
#313  80 5  0  0 0 0 10 30  1 2   0 1
#315  81 5  0  0 0 0 10 31  1 2   0 1
#pulser
#015  90 9  0  	 0 0 0		10	90  1 2  0.0000 1.000000
#115  91 9  0  	 0 0 0		10	91  1 2  0.0000 1.000000
#215  92 9  0  	 0 0 0		10	92  1 2  0.0000 1.000000
#315  93 9  0  	 0 0 0		10	93  1 2  0.0000 1.000000
#415  94 9  0  	 0 0 0		10	94  1 2  0.0000 1.000000
#trigger (if any)
#313  99 99  0  0 		10	99  1 2  0.0000  1.000000 
#solar cells
#400  40 8  0  	 0 0 0		10	40  1 2  0.0000 1.000000
#401  41 8  0  	 0 0 0		10	41  1 2  0.0000 1.000000
#402  42 8  0  	 0 0 0		10	42  1 2  0.0000 1.000000
#403  43 8  0  	 0 0 0		10	43  1 2  0.0000 1.000000
#404  44 8  0  	 0 0 0		10	44  1 2  0.0000 1.000000
#405  45 8  0  	 0 0 0		10	45  1 2  0.0000 1.000000
