#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
000	200	99	TRG	0	0	0	0	0	1	2	0	1
002	1	3	A2P	0	37	72	25	1	1	2      	4.8340	3.004528
004	2	3	A3P	0	37	144	10	2	1	2      	4.8561	4.282115
006	3	3	A4P	0	37	216	15	3	1	2      	5.4710	3.964494
008	4	3	A5P	0	37	288	15	4	1	2      	-4.6430	2.962893
010	5	3	B1P	0	70	36	18	5	1	2      	-2.1682	2.947002
012	6	3	B2P	0	70	108	10	6	1	2      	12.6296	3.618937
014	0	3	A1P	0	37	0	25	0	1	2	44.8751 4.022173
100	8	3	B3P	0	70	180	12	8	1	2	4.5370 	3.814854
102	9	3	B4P	0	70	252	17	9	1	2	5.3517 	4.041545
104	10	3	B5P	0	70	324	20	10	1	2	6.5149	2.828638
204	18	3	B1N	0	110	36	15	18	1	2	6.4668 3.798025
206	19	3	B2N	0	110	108	15	19	1	2	2.0733 3.134154
208	20	3	B3N	0	110	180	15	20	1	2	9.3251 3.319951
210	21	3	B4N	0	110	252	10	21	1	2	2.0548 3.132993
300	24	3	B5N	0	110	324	15	24	1	2	-13.1564 3.07119
302	25	3	A1N	0	143	0	15	25	1	2	3.5322 3.999287
304	26	3	A2N	0	143	288	15	26	1	2	28.7125 4.007009
306	27	3	A3N	0	143	216	15	27	1	2	-2.0438	1.524162
308	28	3	A4N	0	143	144	15	28	1	2	25.0701 3.881551	
310	29	3	A5N	0	143	72	10	29	1	2	38.836	10.421028
#106	37	3	C1	0	90	0	10	37	1	2	0	1
108	38	3	C2	0	90	288	10	38	1	2	8.7517 4.193113
110	39	3	C3	0	90	216	10	39	1	2	30.2577 4.149056
200	40	3	C4	0	90	144	10	40	1	2	5.2632 3.780249
202	41	3	C5	0	90	72	15	41	1	2	5.7696 3.299204
#BGO												
003	51	5	BGO	0	0	0	10	1	1	2	0	1
005	52	5	BGO	0	0	0	22	2	1	2	0	1
007	53	5	BGO	0	0	0	15	3	1	2	0	1
009	54	5	BGO	0	0	0	18	4	1	2	0	1
011	55	5	BGO	0	0	0	10	5	1	2	0	1
013	56	5	BGO	0	0	0	10	6	1	2	0	1
015	50	5	BGO	0	0	0	25	0	1	2	0	1
#015	57	5	BGO	0	0	0	10	7	1	2	0	1
101	58	5	BGO	0	0	0	14	8	1	2	0	1
103	59	5	BGO	0	0	0	16	9	1	2	0	1
105	60	5	BGO	0	0	0	15	10	1	2	0	1
#107	61	5	BGO	0	0	0	12	37	1	2	0	1
109	62	5	BGO	0	0	0	10	38	1	2	0	1
111	63	5	BGO	0	0	0	19	39	1	2	0	1
#113	64	5	BGO	0	0	0	15	14	1	2	0	1
#115	65	5	BGO	0	0	0	15	15	1	2	0	1
201	66	5	BGO	0	0	0	15	40	1	2	0	1
203	67	5	BGO	0	0	0	15	41	1	2	0	1
205	68	5	BGO	0	0	0	15	18	1	2	0	1
207	69	5	BGO	0	0	0	15	19	1	2	0	1
209	70	5	BGO	0	0	0	10	20	1	2	0	1
211	71	5	BGO	0	0	0	10	21	1	2	0	1
#213	72	5	BGO	0	0	0	10	22	1	2	0	1
#215	73	5	BGO	0	0	0	10	23	1	2	0	1
301	74	5	BGO	0	0	0	15	24	1	2	0	1
303	75	5	BGO	0	0	0	15	25	1	2	0	1
305	76	5	BGO	0	0	0	15	26	1	2	0	1
307	77	5	BGO	0	0	0	15	27	1	2	0	1
309	78	5	BGO	0	0	0	15	28	1	2	0	1
311	79	5	BGO	0	0	0	10	29	1	2	0	1
#si												
400	204	98	TRG	0	0	0	25	0	1	2	0	1
#401	101	7	Si	0	0	0	10	1	1	2	0	1
402	102	7	Si	0	0	0	22	2	1	2	169.2007 1.801154
403	103	7	Si	0	0	0	15	3	1	2	136.0810 1.795685
404	104	7	Si	0	0	0	18	4	1	2	131.8748 1.811837
405	105	7	Si	0	0	0	10	5	1	2	136.5717 1.792449
406	106	7	Si	0	0	0	10	6	1	2	138.5556 1.799265
407	107	7	Si	0	0	0	10	7	1	2	163.0287 1.852566
408	108	7	Si	0	0	0	14	8	1	2	125.8957 1.862084
409	109	7	Si	0	0	0	16	9	1	2	152.7958 1.796207
410	110	7	Si	0	0	0	15	10	1	2	151.3964 1.760726
411	111	7	Si	0	0	0	12	35	1	2	161.7887 1.757285
412	112	7	Si	0	0	0	10	36	1	2	133.2780 1.825557
413	113	7	Si	0	0	0	19	37	1	2	174.3819 1.777790
414	114	7	Si	0	0	0	15	14	1	2	154.2635 1.817650
415	115	7	Si	0	0	0	15	15	1	2	130.7110 1.801952
#												
500	205	98	TRG	0	0	0	15	15	1	2	0	1
#501	117	7	Si	0	0	0	15	15	1	2	0	1
502	118	7	Si	0	0	0	15	15	1	2	130.2478 1.857617
503	119	7	Si	0	0	0	15	15	1	2	153.4182 1.857952
504	120	7	Si	0	0	0	15	15	1	2	159.2756 1.848229
505	121	7	Si	0	0	0	15	15	1	2	154.3124 1.787857
506	122	7	Si	0	0	0	15	15	1	2	163.7242 1.970526
507	123	7	Si	0	0	0	15	15	1	2	157.0418 1.851920
508	124	7	Si	0	0	0	15	15	1	2	154.0782 1.808089
509	125	7	Si	0	0	0	15	15	1	2	143.5747 1.828390
510	126	7	Si	0	0	0	15	15	1	2	140.0144 1.849893
511	127	7	Si	0	0	0	15	15	1	2	110.0852 1.881836
512	128	7	Si	0	0	0	15	15	1	2	139.9506 1.893114
513	129	7	Si	0	0	0	15	15	1	2	133.0628 1.952616
514	130	7	Si	0	0	0	15	15	1	2	137.4594 1.815934
515	131	7	Si	0	0	0	15	15	1	2	111.9177 1.894362
#												
600	206	98	TRG	0	0	0	15	15	1	2	0	1
#601	133	7	Si	0	0	0	15	15	1	2	0	1
602	134	7	Si	0	0	0	15	15	1	2	126.6088 1.868870
603	135	7	Si	0	0	0	15	15	1	2	103.2828 1.951636
604	136	7	Si	0	0	0	15	15	1	2	133.194  1.8836
605	137	7	Si	0	0	0	15	15	1	2	154.7954 1.843992
606	138	7	Si	0	0	0	15	15	1	2	134.6869 1.862015
607	139	7	Si	0	0	0	15	15	1	2	136.2189 1.842230
608	140	7	Si	0	0	0	15	15	1	2	135.4357 1.784077
609	141	7	Si	0	0	0	15	15	1	2	111.1687 1.877449
610	142	7	Si	0	0	0	15	15	1	2	162.5231 1.788672
611	143	7	Si	0	0	0	15	15	1	2	105.1955 1.862411
612	144	7	Si	0	0	0	15	15	1	2	119.614  2.32138
613	145	7	Si	0	0	0	15	15	1	2	153.104  2.3635 
614	146	7	Si	0	0	0	15	15	1	2	149.7590 1.743236
615	147	7	Si	0	0	0	15	15	1	2	135.4079 1.814375
#												
700	207	98	TRG	0	0	0	15	15	1	2	0	1
#701	149	7	Si	0	0	0	15	15	1	2	0	1
702	150	7	Si	0	0	0	15	15	1	2	110.8418 1.894719
703	151	7	Si	0	0	0	15	15	1	2	119.6340 1.856714
704	152	7	Si	0	0	0	15	15	1	2	166.3285 1.821487
705	153	7	Si	0	0	0	15	15	1	2	 49.985     1.91156
706	154	7	Si	0	0	0	15	15	1	2	97.1135 1.831353
707	155	7	Si	0	0	0	15	15	1	2	110.8664 1.831977
708	156	7	Si	0	0	0	15	15	1	2	125.1820 1.825548
709	157	7	Si	0	0	0	15	15	1	2	121.5116 1.821567
710	158	7	Si	0	0	0	15	15	1	2	159.2333 1.816733
711	159	7	Si	0	0	0	15	15	1	2	124.8372 1.868566
712	160	7	Si	0	0	0	15	15	1	2	123.8824 1.862223
713	161	7	Si	0	0	0	15	15	1	2	123.4267 1.855320
714	162	7	Si	0	0	0	15	15	1	2	132.7281 1.884601
715	163	7	Si	0	0	0	15	15	1	2	134.4238 1.860726
#												
800	208	98	TRG	0	0	0	15	15	1	2	0	1
#801	165	7	Si	0	0	0	15	15	1	2	0	1
802	166	7	Si	0	0	0	15	15	1	2	113.6504 1.959852
803	167	7	Si	0	0	0	15	15	1	2	114.2974 1.990647
804	168	7	Si	0	0	0	15	15	1	2	106.8806 1.896815
805	169	7	Si	0	0	0	15	15	1	2	107.8407 1.900884
806	170	7	Si	0	0	0	15	15	1	2	119.2603 1.848293
807	171	7	Si	0	0	0	15	15	1	2	96.5695 1.970084
808	172	7	Si	0	0	0	15	15	1	2	22.6592 1.999904
809	173	7	Si	0	0	0	15	15	1	2	80.8928 1.923444
810	174	7	Si	0	0	0	15	15	1	2	57.3703 2.129485
811	175	7	Si	0	0	0	15	15	1	2	47.1100 2.074527
812	176	7	Si	0	0	0	15	15	1	2	82.2231 2.24119
813	177	7	Si	0	0	0	15	15	1	2	55.8842 2.106801
814	178	7	Si	0	0	0	15	15	1	2	56.3932 2.052062
815	179	7	Si	0	0	0	15	15	1	2	78.6213 2.086199
#												
900	209	98	TRG	0	0	0	15	15	1	2	0	1
#901	181	7	Si	0	0	0	15	15	1	2	0	1
902	182	7	Si	0	0	0	15	15	1	2	52.4340 2.096242
903	183	7	Si	0	0	0	15	15	1	2	14.2649 2.051222
904	184	7	Si	0	0	0	15	15	1	2	62.4475 2.151740
905	185	7	Si	0	0	0	15	15	1	2	54.4969 2.118183
