#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
#000	200	99	TRG	0	0	0	0	0	1	2	0	1
002	1	3	A2P	0	37	72	25	1	1	2       0	1
004	2	3	A3P	0	37	144	10	2	1	2      1.3261 1.899053
006	3	3	A4P	0	37	216	15	3	1	2      6.5415 2.018406
008	4	3	A5P	0	37	288	15	4	1	2      4.5691 1.564075
010	5	3	B1P	0	70	36	18	5	1	2      5.9224 1.550551
012	6	3	B2P	0	70	108	10	6	1	2      2.9291 1.880451
014	0	3	A1P	0	37	0	25	0	1	2     13.0695 1.976666
112	8	3	B3P	0	70	180	12	8	1	2     2.6314 1.851527
102	9	3	B4P	0	70	252	17	9	1	2     18.2572 1.906083
104	10	3	B5P	0	70	324	20	10	1	2      -105.6144 1.778208
204	18	3	B1N	0	110	36	15	18	1	2     0		1
206	19	3	B2N	0	110	108	15	19	1	2      2.7127 1.719862
208	20	3	B3N	0	110	180	15	20	1	2      2.6237 1.890601
210	21	3	B4N	0	110	252	10	21	1	2      4.0425 1.619579
312	24	3	B5N	0	110	324	15	24	1	2	5.9790 1.668974
302	25	3	A1N	0	143	0	15	25	1	2	8.8345 2.108204
304	26	3	A2N	0	143	288	15	26	1	2	7.1922 2.135578
306	27	3	A3N	0	143	216	15	27	1	2	-0.9600 0.842289
308	28	3	A4N	0	143	144	15	28	1	2	0.9150 1.127149
310	29	3	A5N	0	143	72	10	29	1	2	13.3832 2.070595
#106	37	3	C1	0	90	0	10	37	1	2	0	1
108	38	3	C2	0	90	288	10	38	1	2	 -147.9358 2.845134
110	39	3	C3	0	90	216	10	39	1	2	 1.8855 2.044258
212	40	3	C4	0	90	144	10	40	1	2	 16.1210 1.910346
202	41	3	C5	0	90	72	15	41	1	2	 1.2384 1.771445
#BGO												
#001	51	5	BGO	0	0	0	10	1	1	2	0	1
003	51	5	BGO	0	0	0	10	1	1	2	0	1
005	52	5	BGO	0	0	0	22	2	1	2	0	1
007	53	5	BGO	0	0	0	15	3	1	2	0	1
009	54	5	BGO	0	0	0	18	4	1	2	0	1
011	55	5	BGO	0	0	0	10	5	1	2	0	1
013	56	5	BGO	0	0	0	10	6	1	2	0	1
015	50	5	BGO	0	0	0	25	0	1	2	0	1
#015	57	5	BGO	0	0	0	10	7	1	2	0	1
113	58	5	BGO	0	0	0	14	8	1	2	0	1
103	59	5	BGO	0	0	0	16	9	1	2	0	1
105	60	5	BGO	0	0	0	15	10	1	2	0	1
#107	61	5	BGO	0	0	0	12	37	1	2	0	1
109	62	5	BGO	0	0	0	10	38	1	2	0	1
111	63	5	BGO	0	0	0	19	39	1	2	0	1
#113	64	5	BGO	0	0	0	15	14	1	2	0	1
#115	65	5	BGO	0	0	0	15	15	1	2	0	1
213	66	5	BGO	0	0	0	15	40	1	2	0	1
203	67	5	BGO	0	0	0	15	41	1	2	0	1
205	68	5	BGO	0	0	0	15	18	1	2	0	1
207	69	5	BGO	0	0	0	15	19	1	2	0	1
209	70	5	BGO	0	0	0	10	20	1	2	0	1
211	71	5	BGO	0	0	0	10	21	1	2	0	1
#213	72	5	BGO	0	0	0	10	22	1	2	0	1
#215	73	5	BGO	0	0	0	10	23	1	2	0	1
313	74	5	BGO	0	0	0	15	24	1	2	0	1
303	75	5	BGO	0	0	0	15	25	1	2	0	1
305	76	5	BGO	0	0	0	15	26	1	2	0	1
307	77	5	BGO	0	0	0	15	27	1	2	0	1
309	78	5	BGO	0	0	0	15	28	1	2	0	1
311	79	5	BGO	0	0	0	10	29	1	2	0	1
#si												
#400	204	98	TRG	0	0	0	25	0	1	2	0	1
#401	101	7	Si	0	0	0	10	1	1	2	0	1
402	102	7	Si	0	0	0	22	2	1	2	0	1
403	103	7	Si	0	0	0	15	3	1	2	0	1
404	104	7	Si	0	0	0	18	4	1	2	0	1
405	105	7	Si	0	0	0	10	5	1	2	0	1
406	106	7	Si	0	0	0	10	6	1	2	0	1
407	107	7	Si	0	0	0	10	7	1	2	0	1
#408	108	7	Si	0	0	0	14	8	1	2	0	1
#409	109	7	Si	0	0	0	16	9	1	2	0	1
#410	110	7	Si	0	0	0	15	10	1	2	0	1
#411	111	7	Si	0	0	0	12	35	1	2	0	1
#412	112	7	Si	0	0	0	10	36	1	2	0	1
#413	113	7	Si	0	0	0	19	37	1	2	0	1
#414	114	7	Si	0	0	0	15	14	1	2	0	1
#415	115	7	Si	0	0	0	15	15	1	2	0	1
#trigger
115	201	98	N	0	0	0	0	0	1	2	0	1
215	202	98	N	0	0	0	0	0	1	2	0	1
315	203	98	N	0	0	0	0	0	1	2	0	1
