#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
208	11	1	C2	0	0	0	25	11	1	2	0	1
210	14	1	C5	0	0	0	25	14	1	2	0	1
212	23	1	-A4	0	0	0	10	23	1	2	0	1
214	24	1	-A5	0	0	0	15	24	1	2	0	1
302	0	3	A1	0	0	0	15	0	1	2	0	1
303	100	4	A1_acs	0	0	0	18	0	1	2	0	1
304	1	3	A2	0	0	0	10	1	1	2	0	1
305	101	4	A2_acs	0	0	0	25	1	1	2	0	1
306	2	3	A3	0	0	0	12	2	1	2	0	1
307	102	4	A3_acs	0	0	0	17	2	1	2	0	1
308	3	3	A4	0	0	0	20	3	1	2	0	1
309	103	4	A4_acs	0	0	0	15	3	1	2	0	1
310	4	3	A5	0	0	0	15	4	1	2	0	1
311	104	4	A5_acs	0	0	0	15	4	1	2	0	1
312	5	3	B1	0	0	0	10	5	1	2	0	1
313	105	4	B1_acs	0	0	0	15	5	1	2	0	1
314	6	3	B2	0	0	0	15	6	1	2	0	1
315	106	4	B2_acs	0	0	0	15	6	1	2	0	1
402	7	3	B3	0	0	0	15	7	1	2	0	1
403	107	4	B3_acs	0	0	0	15	7	1	2	0	1
404	8	3	B4	0	0	0	10	8	1	2	0	1
405	108	4	B4_acs	0	0	0	10	8	1	2	0	1
406	9	3	B5	0	0	0	10	9	1	2	0	1
407	109	4	B5_acs	0	0	0	10	9	1	2	0	1
408	10	3	C1	0	0	0	10	10	1	2	0	1
409	110	4	C1_acs	0	0	0	15	10	1	2	0	1
411	111	4	C2_hpge_acs	0	0	0	15	11	1	2	0	1
412	12	3	C3	0	0	0	10	12	1	2	0	1
413	112	4	C3_acs	0	0	0	22	12	1	2	0	1
414	13	3	C4	0	0	0	15	13	1	2	0	1
415	113	4	C4_acs	0	0	0	18	13	1	2	0	1
503	114	4	C5_hpge_acs	0	0	0	10	14	1	2	0	1
504	15	3	-B1	0	0	0	10	15	1	2	0	1
505	115	4	-B1_acs	0	0	0	25	15	1	2	0	1
506	16	3	-B2	0	0	0	10	16	1	2	0	1
507	116	4	-B2_acs	0	0	0	14	16	1	2	0	1
508	17	3	-B3	0	0	0	16	17	1	2	0	1
509	117	4	-B3_acs	0	0	0	15	17	1	2	0	1
510	18	3	-B4	0	0	0	12	18	1	2	0	1
511	118	4	-B4_acs	0	0	0	10	18	1	2	0	1
512	19	3	-B5	0	0	0	19	19	1	2	0	1
513	119	4	-B5_acs	0	0	0	15	19	1	2	0	1
514	20	3	-A1	0	0	0	15	20	1	2	0	1
515	120	4	-A1_acs	0	0	0	15	20	1	2	0	1
602	21	3	-A2	0	0	0	15	21	1	2	0	1
603	121	4	-A2_acs	0	0	0	15	21	1	2	0	1
604	22	3	-A3	0	0	0	15	22	1	2	0	1
605	122	4	-A3_acs	0	0	0	10	22	1	2	0	1
607	123	4	-A4_hpge_acs	0	0	0	10	23	1	2	0	1
609	124	4	-A5_hpge_acs	0	0	0	10	24	1	2	0	1

