#daq_ch	domain	det_def	CloverName	TimeOffset	Theta	Phi	Threshold	cs_dom	nothing	cal_pars	par1	par2
208	11	1	C2_hpge	0	0	0	25	11	1	2	0	1
210	14	1	C5_hpge	0	0	0	25	14	1	2	0	1
212	23	1	-A4_hpge	0	0	0	10	23	1	2	0	1
214	24	1	-A5_hpge	0	0	0	15	24	1	2	0	1
302	0	3	A1	0	0	0	15	0	1	2	0	1
303	100	4	A1_acs	0	0	0	18	0	1	2	0	1
304	1	3	A2	0	0	0	10	1	1	2	0	1
305	101	4	A2_acs	0	0	0	25	1	1	2	0	1
306	2	3	A3	0	0	0	12	2	1	2	0	1
307	102	4	A3_acs	0	0	0	17	2	1	2	0	1
308	3	3	A4	0	0	0	20	3	1	2	0	1
309	103	4	A4_acs	0	0	0	15	3	1	2	0	1
310	4	3	A5	0	0	0	15	4	1	2	0	1
311	104	4	A5_acs	0	0	0	15	4	1	2	0	1
312	5	3	B1	0	0	0	10	5	1	2	0	1
313	105	4	B1_acs	0	0	0	15	5	1	2	0	1
314	6	3	B2	0	0	0	15	6	1	2	0	1
315	106	4	B2_acs	0	0	0	15	6	1	2	0	1
402	7	3	B3	0	0	0	15	7	1	2	0	1
403	107	4	B3_acs	0	0	0	15	7	1	2	0	1
404	8	3	B4	0	0	0	10	8	1	2	0	1
405	108	4	B4_acs	0	0	0	10	8	1	2	0	1
406	9	3	B5	0	0	0	10	9	1	2	0	1
407	109	4	B5_acs	0	0	0	10	9	1	2	0	1
408	10	3	C1	0	0	0	10	10	1	2	0	1
409	110	4	C1_acs	0	0	0	15	10	1	2	0	1
411	111	4	C2_hpge_acs	0	0	0	15	11	1	2	0	1
412	12	3	C3	0	0	0	10	12	1	2	0	1
413	112	4	C3_acs	0	0	0	22	12	1	2	0	1
414	13	3	C4	0	0	0	15	13	1	2	0	1
415	113	4	C4_acs	0	0	0	18	13	1	2	0	1
503	114	4	C5_hpge_acs	0	0	0	10	14	1	2	0	1
504	15	3	-B1	0	0	0	10	15	1	2	0	1
505	115	4	-B1_acs	0	0	0	25	15	1	2	0	1
506	16	3	-B2	0	0	0	10	16	1	2	0	1
507	116	4	-B2_acs	0	0	0	14	16	1	2	0	1
508	17	3	-B3	0	0	0	16	17	1	2	0	1
509	117	4	-B3_acs	0	0	0	15	17	1	2	0	1
510	18	3	-B4	0	0	0	12	18	1	2	0	1
511	118	4	-B4_acs	0	0	0	10	18	1	2	0	1
512	19	3	-B5	0	0	0	19	19	1	2	0	1
513	119	4	-B5_acs	0	0	0	15	19	1	2	0	1
514	20	3	-A1	0	0	0	15	20	1	2	0	1
515	120	4	-A1_acs	0	0	0	15	20	1	2	0	1
602	21	3	-A2	0	0	0	15	21	1	2	0	1
603	121	4	-A2_acs	0	0	0	15	21	1	2	0	1
604	22	3	-A3	0	0	0	15	22	1	2	0	1
605	122	4	-A3_acs	0	0	0	10	22	1	2	0	1
607	123	4	-A4_hpge_acs	0	0	0	10	23	1	2	0	1
609	124	4	-A5_hpge_acs	0	0	0	10	24	1	2	0	1
0	200	7	1	0	0	0	10	0	1	2	0	1
1	201	7	2	0	0	0	10	0	1	2	0	1
2	202	7	3	0	0	0	10	0	1	2	0	1
3	203	7	4	0	0	0	10	0	1	2	0	1
4	204	7	5	0	0	0	10	0	1	2	0	1
5	205	7	6	0	0	0	10	0	1	2	0	1
6	206	7	7	0	0	0	10	0	1	2	0	1
7	207	7	8	0	0	0	10	0	1	2	0	1
8	208	7	9	0	0	0	10	0	1	2	0	1
9	209	7	10	0	0	0	10	0	1	2	0	1
10	210	7	11	0	0	0	10	0	1	2	0	1
11	211	7	12	0	0	0	10	0	1	2	0	1
12	212	7	13	0	0	0	10	0	1	2	0	1
13	213	7	14	0	0	0	10	0	1	2	0	1
14	214	7	15	0	0	0	10	0	1	2	0	1
15	215	7	16	0	0	0	10	0	1	2	0	1
49	216	7	17	0	0	0	10	0	1	2	0	1
17	217	7	18	0	0	0	10	0	1	2	0	1
48	218	7	19	0	0	0	10	0	1	2	0	1
16	219	7	20	0	0	0	10	0	1	2	0	1
51	220	7	21	0	0	0	10	0	1	2	0	1
19	221	7	22	0	0	0	10	0	1	2	0	1
50	222	7	23	0	0	0	10	0	1	2	0	1
18	223	7	24	0	0	0	10	0	1	2	0	1
53	224	7	25	0	0	0	10	0	1	2	0	1
21	225	7	26	0	0	0	10	0	1	2	0	1
52	226	7	27	0	0	0	10	0	1	2	0	1
20	227	7	28	0	0	0	10	0	1	2	0	1
55	228	7	29	0	0	0	10	0	1	2	0	1
23	229	7	30	0	0	0	10	0	1	2	0	1
51	230	7	31	0	0	0	10	0	1	2	0	1
22	231	7	32	0	0	0	10	0	1	2	0	1
57	232	7	33	0	0	0	10	0	1	2	0	1
25	233	7	34	0	0	0	10	0	1	2	0	1
56	234	7	35	0	0	0	10	0	1	2	0	1
24	235	7	36	0	0	0	10	0	1	2	0	1
59	236	7	37	0	0	0	10	0	1	2	0	1
27	237	7	38	0	0	0	10	0	1	2	0	1
58	238	7	39	0	0	0	10	0	1	2	0	1
26	239	7	40	0	0	0	10	0	1	2	0	1
61	240	7	41	0	0	0	10	0	1	2	0	1
29	241	7	42	0	0	0	10	0	1	2	0	1
60	242	7	43	0	0	0	10	0	1	2	0	1
28	243	7	44	0	0	0	10	0	1	2	0	1
63	244	7	45	0	0	0	10	0	1	2	0	1
51	245	7	46	0	0	0	10	0	1	2	0	1
62	246	7	47	0	0	0	10	0	1	2	0	1
30	247	7	48	0	0	0	10	0	1	2	0	1
46	248	7	49	0	0	0	10	0	1	2	0	1
33	249	7	50	0	0	0	10	0	1	2	0	1
47	250	7	51	0	0	0	10	0	1	2	0	1
32	251	7	52	0	0	0	10	0	1	2	0	1
44	252	7	53	0	0	0	10	0	1	2	0	1
35	253	7	54	0	0	0	10	0	1	2	0	1
45	254	7	55	0	0	0	10	0	1	2	0	1
34	255	7	56	0	0	0	10	0	1	2	0	1
42	256	7	57	0	0	0	10	0	1	2	0	1
37	257	7	58	0	0	0	10	0	1	2	0	1
43	258	7	59	0	0	0	10	0	1	2	0	1
36	259	7	60	0	0	0	10	0	1	2	0	1
40	260	7	61	0	0	0	10	0	1	2	0	1
39	261	7	62	0	0	0	10	0	1	2	0	1
41	262	7	63	0	0	0	10	0	1	2	0	1
38	263	7	64	0	0	0	10	0	1	2	0	1
100	300	7	1	0	0	0	10	0	1	2	0	1
101	301	7	2	0	0	0	10	0	1	2	0	1
102	302	7	3	0	0	0	10	0	1	2	0	1
103	303	7	4	0	0	0	10	0	1	2	0	1
104	304	7	5	0	0	0	10	0	1	2	0	1
105	305	7	6	0	0	0	10	0	1	2	0	1
106	306	7	7	0	0	0	10	0	1	2	0	1
107	307	7	8	0	0	0	10	0	1	2	0	1
108	308	7	9	0	0	0	10	0	1	2	0	1
109	309	7	10	0	0	0	10	0	1	2	0	1
110	310	7	11	0	0	0	10	0	1	2	0	1
111	311	7	12	0	0	0	10	0	1	2	0	1
112	312	7	13	0	0	0	10	0	1	2	0	1
113	313	7	14	0	0	0	10	0	1	2	0	1
114	314	7	15	0	0	0	10	0	1	2	0	1
115	315	7	16	0	0	0	10	0	1	2	0	1
149	316	7	17	0	0	0	10	0	1	2	0	1
117	317	7	18	0	0	0	10	0	1	2	0	1
148	318	7	19	0	0	0	10	0	1	2	0	1
116	319	7	20	0	0	0	10	0	1	2	0	1
151	320	7	21	0	0	0	10	0	1	2	0	1
119	321	7	22	0	0	0	10	0	1	2	0	1
150	322	7	23	0	0	0	10	0	1	2	0	1
118	323	7	24	0	0	0	10	0	1	2	0	1
153	324	7	25	0	0	0	10	0	1	2	0	1
121	325	7	26	0	0	0	10	0	1	2	0	1
152	326	7	27	0	0	0	10	0	1	2	0	1
120	327	7	28	0	0	0	10	0	1	2	0	1
155	328	7	29	0	0	0	10	0	1	2	0	1
123	329	7	30	0	0	0	10	0	1	2	0	1
151	330	7	31	0	0	0	10	0	1	2	0	1
122	331	7	32	0	0	0	10	0	1	2	0	1
157	332	7	33	0	0	0	10	0	1	2	0	1
125	333	7	34	0	0	0	10	0	1	2	0	1
156	334	7	35	0	0	0	10	0	1	2	0	1
124	335	7	36	0	0	0	10	0	1	2	0	1
159	336	7	37	0	0	0	10	0	1	2	0	1
127	337	7	38	0	0	0	10	0	1	2	0	1
158	338	7	39	0	0	0	10	0	1	2	0	1
126	339	7	40	0	0	0	10	0	1	2	0	1
161	340	7	41	0	0	0	10	0	1	2	0	1
129	341	7	42	0	0	0	10	0	1	2	0	1
160	342	7	43	0	0	0	10	0	1	2	0	1
128	343	7	44	0	0	0	10	0	1	2	0	1
163	344	7	45	0	0	0	10	0	1	2	0	1
151	345	7	46	0	0	0	10	0	1	2	0	1
162	346	7	47	0	0	0	10	0	1	2	0	1
130	347	7	48	0	0	0	10	0	1	2	0	1
146	348	7	49	0	0	0	10	0	1	2	0	1
133	349	7	50	0	0	0	10	0	1	2	0	1
147	350	7	51	0	0	0	10	0	1	2	0	1
132	351	7	52	0	0	0	10	0	1	2	0	1
144	352	7	53	0	0	0	10	0	1	2	0	1
135	353	7	54	0	0	0	10	0	1	2	0	1
145	354	7	55	0	0	0	10	0	1	2	0	1
134	355	7	56	0	0	0	10	0	1	2	0	1
142	356	7	57	0	0	0	10	0	1	2	0	1
137	357	7	58	0	0	0	10	0	1	2	0	1
143	358	7	59	0	0	0	10	0	1	2	0	1
136	359	7	60	0	0	0	10	0	1	2	0	1
140	360	7	61	0	0	0	10	0	1	2	0	1
139	361	7	62	0	0	0	10	0	1	2	0	1
141	362	7	63	0	0	0	10	0	1	2	0	1
138	363	7	64	0	0	0	10	0	1	2	0	1

