#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
800	500	3	A1(LaBr)	0	90	0	25	600	1	2	45.1021	3.21086
801	501	3	A2(LaBr)	0	90	0	20	601	1	2	25.9786	3.4941
802	502	3	A3(LaBr)	0	90	0	10	602	1	2	48.0128	2.9768
803	503	3	A4(LaBr)	0	90	0	22	603	1	2	-81.313	2.50009
804	504	3	A5(LaBr)	0	90	0	15	604	1	2	-14.0176	2.43155
805	505	3	B1(LaBr)	0	90	0	15	605	1	2	49.2605	3.42064
806	506	3	B2(LaBr)	0	90	0	15	606	1	2	42.2282	3.15811
807	507	3	B3(LaBr)	0	90	0	18	607	1	2	-51.8821	2.46439
808	508	3	B4(LaBr)	0	90	0	10	608	1	2	-60.4107	2.42321
809	509	3	B5(LaBr)	0	90	0	10	609	1	2	-54.2002	2.6389
810	510	3	C1(LaBr)	0	90	0	12	610	1	2	0	1
##811	511	3	C2(LaBr)	0	90	0	14	611	1	2	0	1
812	512	3	C3(LaBr)	0	90	0	17	612	1	2	46.6617	3.13859
813	513	3	C4(LaBr)	0	90	0	16	613	1	2	84.2146	3.29712
#814	514	3	C5(LaBr)	0	90	0	20	614	1	2	0	1
900	515	3	-B1(LaBr)	0	90	0	14	615	1	2	-2.92992	2.52403
901	516	3	-B2(LaBr)	0	90	0	12	616	1	2	10.0357	3.25129
902	517	3	-B3(LaBr)	0	90	0	20	617	1	2	3.20242	3.25855
903	518	3	-B4(LaBr)	0	90	0	20	618	1	2	26.805	3.35687
904	519	3	-B5(LaBr)	0	90	0	16	619	1	2	-35.1397	2.57391
905	520	3	-A1(LaBr)	0	90	0	19	620	1	2	30.6028	3.13013
906	521	3	-A2(LaBr)	0	90	0	14	621	1	2	51.3923	3.38045
907	522	3	-A3(LaBr)	0	90	0	15	622	1	2	-4.21982	3.39855
##908	523	3	-A4(LaBr)	0	90	0	15	623	1	2	0	1
##909	524	3	-A5(LaBr)	0	90	0	15	624	1	2	0	1
512	525	1	C2(HPGe)	0	90	0	15	611	1	2	9.74623	3.03559
513	526	1	C5(HPGe)	0	90	0	15	614	1	2	0	1
514	527	1	-A4(HPGe)	0	90	0	11	623	1	2	5.3367	3.305288
515	528	1	-A5(HPGe)	0	90	0	10	624	1	2	-18.2045	5.186928
0	0	7	E-S	0	90	0	15	112	1	2	0	1
1	1	7	E-S	0	90	0	15	113	1	2	0	1
2	2	7	E-S	0	90	0	15	110	1	2	0	1
3	3	7	E-S	0	90	0	15	111	1	2	0	1
4	4	7	E-S	0	90	0	15	108	1	2	0	1
5	5	7	E-S	0	90	0	15	109	1	2	0	1
6	6	7	E-S	0	90	0	15	107	1	2	0	1
7	7	7	E-S	0	90	0	15	106	1	2	0	1
8	8	7	E-S	0	90	0	15	104	1	2	0	1
9	9	7	E-S	0	90	0	15	105	1	2	0	1
10	10	7	E-S	0	90	0	15	102	1	2	0	1
11	11	7	E-S	0	90	0	15	103	1	2	0	1
12	12	7	E-S	0	90	0	15	100	1	2	0	1
13	13	7	E-S	0	90	0	15	101	1	2	0	1
14	14	7	E-S	0	90	0	15	115	1	2	0	1
15	15	7	E-S	0	90	0	15	114	1	2	0	1
100	100	17	deE-S	0	90	0	15	100	1	2	0	1
101	101	17	deE-S	0	90	0	15	101	1	2	0	1
102	102	17	deE-S	0	90	0	15	102	1	2	0	1
103	103	17	deE-S	0	90	0	15	103	1	2	0	1
104	104	17	deE-S	0	90	0	15	104	1	2	0	1
105	105	17	deE-S	0	90	0	15	105	1	2	0	1
106	106	17	deE-S	0	90	0	15	106	1	2	0	1
107	107	17	deE-S	0	90	0	15	107	1	2	0	1
108	108	17	deE-S	0	90	0	15	108	1	2	0	1
109	109	17	deE-S	0	90	0	15	109	1	2	0	1
110	110	17	deE-S	0	90	0	15	110	1	2	0	1
111	111	17	deE-S	0	90	0	15	111	1	2	0	1
112	112	17	deE-S	0	90	0	15	112	1	2	0	1
113	113	17	deE-S	0	90	0	15	113	1	2	0	1
114	114	17	deE-S	0	90	0	15	114	1	2	0	1
115	115	17	deE-S	0	90	0	15	115	1	2	0	1
#				0								
200	200	17	dE-i	0	90	0	15	0	1	2	0	1
201	201	17	dE-i	0	90	0	15	0	1	2	0	1
202	202	17	dE-i	0	90	0	15	0	1	2	0	1
203	203	17	dE-i	0	90	0	15	0	1	2	0	1
204	204	17	dE-i	0	90	0	15	0	1	2	0	1
205	205	17	dE-i	0	90	0	15	0	1	2	0	1
206	206	17	dE-i	0	90	0	15	0	1	2	0	1
207	207	17	dE-i	0	90	0	15	0	1	2	0	1
208	208	17	dE-i	0	90	0	15	0	1	2	0	1
209	209	17	dE-i	0	90	0	15	0	1	2	0	1
210	210	17	dE-i	0	90	0	15	0	1	2	0	1
211	211	17	dE-i	0	90	0	15	0	1	2	0	1
212	212	17	dE-i	0	90	0	15	0	1	2	0	1
213	213	17	dE-i	0	90	0	15	0	1	2	0	1
214	214	17	dE-i	0	90	0	15	0	1	2	0	1
#				0								
300	300	17	dE-M	0	90	0	15	0	1	2	0	1
301	301	17	dE-M	0	90	0	15	0	1	2	0	1
302	302	17	dE-M	0	90	0	15	0	1	2	0	1
303	303	17	dE-M	0	90	0	15	0	1	2	0	1
304	304	17	dE-M	0	90	0	15	0	1	2	0	1
305	305	17	dE-M	0	90	0	15	0	1	2	0	1
306	306	17	dE-M	0	90	0	15	0	1	2	0	1
307	307	17	dE-M	0	90	0	15	0	1	2	0	1
308	308	17	dE-M	0	90	0	15	0	1	2	0	1
309	309	17	dE-M	0	90	0	15	0	1	2	0	1
310	310	17	dE-M	0	90	0	15	0	1	2	0	1
311	311	17	dE-M	0	90	0	15	0	1	2	0	1
312	312	17	dE-M	0	90	0	15	0	1	2	0	1
313	313	17	dE-M	0	90	0	15	0	1	2	0	1
314	314	17	dE-M	0	90	0	15	0	1	2	0	1
#				0								
400	400	17	dE-O	0	90	0	15	0	1	2	0	1
401	401	17	dE-O	0	90	0	15	0	1	2	0	1
402	402	17	dE-O	0	90	0	15	0	1	2	0	1
403	403	17	dE-O	0	90	0	15	0	1	2	0	1
404	404	17	dE-O	0	90	0	15	0	1	2	0	1
405	405	17	dE-O	0	90	0	15	0	1	2	0	1
406	406	17	dE-O	0	90	0	15	0	1	2	0	1
407	407	17	dE-O	0	90	0	15	0	1	2	0	1
408	408	17	dE-O	0	90	0	15	0	1	2	0	1
409	409	17	dE-O	0	90	0	15	0	1	2	0	1
410	410	17	dE-O	0	90	0	15	0	1	2	0	1
411	411	17	dE-O	0	90	0	15	0	1	2	0	1
412	412	17	dE-O	0	90	0	15	0	1	2	0	1
413	413	17	dE-O	0	90	0	15	0	1	2	0	1
414	414	17	dE-O	0	90	0	15	0	1	2	0	1
415	415	17	dE-O	0	90	0	15	0	1	2	0	1
#				0								
600	600	5	A1(BGO)	0	90	0	15	600	1	2	0
601	601	5	A2(BGO)	0	90	0	15	601	1	2	0
602	602	5	A3(BGO3	0	90	0	15	602	1	2	0
603	603	5	A4(BGO)	0	90	0	15	603	1	2	0
604	604	5	A5(BGO)	0	90	0	15	604	1	2	0
605	605	5	B1(BGO)	0	90	0	15	605	1	2	0
606	606	5	B2(BGO)	0	90	0	15	606	1	2	0
607	607	5	B3(BGO)	0	90	0	15	607	1	2	0
608	608	5	B4(BGO)	0	90	0	15	608	1	2	0
609	609	5	B5(BGO)	0	90	0	15	609	1	2	0
610	610	5	C1(BGO)	0	90	0	15	610	1	2	0
611	611	5	C2(BGO)	0	90	0	15	611	1	2	0
612	612	5	C3(BGO)	0	90	0	15	612	1	2	0
613	613	5	C4(BGO)	0	90	0	15	613	1	2	0
614	614	5	C5(BGO)	0	90	0	15	614	1	2	0
700	615	5	-B1(BGO)	0	90	0	15	615	1	2	0	1
701	616	5	-B2(BGO)	0	90	0	15	616	1	2	0	1
702	617	5	-B3(BGO)	0	90	0	15	617	1	2	0	1
703	618	5	-B4(BGO)	0	90	0	15	618	1	2	0	1
704	619	5	-B5(BGO)	0	90	0	15	619	1	2	0	1
705	620	5	-A1(BGO)	0	90	0	15	620	1	2	0	1
706	621	5	-A2(BGO)	0	90	0	15	621	1	2	0	1
707	622	5	-A3(BGO)	0	90	0	15	622	1	2	0	1
708	623	5	-A4(BGO)	0	90	0	15	623	1	2	0	1
709	624	5	-A5(BGO)	0	90	0	15	624	1	2	0	1

