#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
800	500	3	A1(LaBr)	0	37	0	25	600	1	2	3.07171714	162.4397787
801	501	3	A2(LaBr)	0	37	72	20	601	1	2	3.405028499	102.4160751
802	502	3	A3(LaBr)	0	37	144	10	602	1	2	2.849468371	165.621738
803	503	3	A4(LaBr)	0	37	216	22	603	1	2	2.671939846	-476.0657043
804	504	3	A5(LaBr)	0	37	288	15	604	1	2	2.530606637	-221.0362296
805	505	3	B1(LaBr)	0	70	36	15	605	1	2	3.433008719	-11.21088462
806	506	3	B2(LaBr)	0	70	108	15	606	1	2	3.03445548	237.9220746
807	507	3	B3(LaBr)	0	70	180	18	607	1	2	2.672070255	-425.5322775
808	508	3	B4(LaBr)	0	70	252	10	608	1	2	2.61764343	-416.0224264
809	509	3	B5(LaBr)	0	70	324	10	609	1	2	2.718973915	-294.3239719
810	510	3	C1(LaBr)	0	90	0	12	610	1	2	0.		0.
811	511	3	C2(LaBr)	0	90	0	14	611	1	2	0.		0.
812	512	3	C3(LaBr)	0	90	216	17	612	1	2	3.103876994	75.34950133
813	513	3	C4(LaBr)	0	90	144	16	613	1	2	3.694715055	-224.6097049
814	514	3	C5(LaBr)	0	90	0	20	614	1	2	0.		0.
900	515	3	-B1(LaBr)	0	110	36	14	615	1	2	2.514242509	-83.04562446
901	516	3	-B2(LaBr)	0	110	108	12	616	1	2	3.210143383	40.22266986
902	517	3	-B3(LaBr)	0	110	180	20	617	1	2	3.263589408	182.2036354
903	518	3	-B4(LaBr)	0	110	252	20	618	1	2	3.271974311	147.8190076
904	519	3	-B5(LaBr)	0	110	324	16	619	1	2	2.722972631	-317.081997
905	520	3	-A1(LaBr)	0	143	0	19	620	1	2	3.117409324	-1.370380302
906	521	3	-A2(LaBr)	0	143	288	14	621	1	2	2.745640032	-146.9432638
907	522	3	-A3(LaBr)	0	143	216	15	622	1	2	3.297400986	43.57193734
908	523	3	-A4(LaBr)	0	90	0	15	623	1	2	 0		   1
909	524	3	-A5(LaBr)	0	90	0	15	624	1	2	 0		  1
512	525	1	C2(HPGe)	0	90	288	15	525	1	2	 3.13427     3.04384   
513	526	1	C5(HPGe)	0	90	72	15	526	1	2	 4.08513     2.42089   
514	527	1	-A4(HPGe)	0	143	144	11	527	1	2	 4.93253     3.30693   
515	528	1	-A5(HPGe)	0	143	72	10	528	1	2	 -22.449     5.19403   
0	0	7	E-S		0	90	0	15	112	1	2	0	1
1	1	7	E-S		0	90	0	15	113	1	2	0	1
2	2	7	E-S		0	90	0	15	110	1	2	0	1
3	3	7	E-S		0	90	0	15	111	1	2	0	1
4	4	7	E-S		0	90	0	15	108	1	2	0	1
5	5	7	E-S		0	90	0	15	109	1	2	0	1
6	6	7	E-S		0	90	0	15	107	1	2	0	1
7	7	7	E-S		0	90	0	15	106	1	2	0	1
8	8	7	E-S		0	90	0	15	104	1	2	0	1
9	9	7	E-S		0	90	0	15	105	1	2	0	1
10	10	7	E-S		0	90	0	15	102	1	2	0	1
11	11	7	E-S		0	90	0	15	103	1	2	0	1
12	12	7	E-S		0	90	0	15	100	1	2	0	1
13	13	7	E-S		0	90	0	15	101	1	2	0	1
14	14	7	E-S		0	90	0	15	115	1	2	0	1
